#,In which role are you responding to this survey?,Other,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,"We are not involved yet, but would like to learn more.",We are not involved as a library but I am personally.,Other,Teaching and Learning,Collections management and acquisitions,"Scholarly communication, publishing services, open access",Digital library management,Information and data analytics,Research data management,"Research and development, digital projects","Metadata and data conversion, cataloging",Reference and user services,"Library IT, digital library services",Other,Library Carpentry,Data Carpentry,Software Carpentry,"No, but I plan to do so",No,Other,When did you last attend a Carpentries Workshop?,Git,Introduction to Data for Archivists,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,I do not remember,Other,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,Other,How often do you now apply the skills and techniques which you have gained?,"In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reorganising and Cleaning Spreadsheets","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Version Control","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Transforming Workflows into Scripts","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Scraping or Mining Web Content","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Improving Data Management and Project Organisation","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Programming Languages (R, Python)","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reusing code","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Creating processable reports (e.g., R Markdown, Jupyter notebook)",What other behaviours/routines have you adopted as a result of completing a Carpentries workshop?,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,Other,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,Other,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,Other,What other topics should the Library Carpentry curriculum include?,Do you have any other suggestions on how Library Carpentry could support you in your work?,We would like to quote you. Please share a short statement on how you personally benefitted from your workshop participation or further engagement with The Carpentries.,How would you classify your institution/organisation?,Other,What is the size of your overall institution in terms of staff (academic and administrative)?,Other,What is the size of your overall institution in terms of full-time equivalent (FTE) enrolled students?,What is the size of the library in terms of FTE staff?,Is there anything else you would like to share?,Start Date (UTC),Submit Date (UTC),Network ID
f9t6edq5u8db0gcdf9t6eikkjjso02mf,As an individual,,,,,,,,,,Collections management and acquisitions,,,,,,,,,,Library Carpentry,,,,,,0-6 months ago,Git,,,Python,,,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,,,In a new work area or project,,,,Less than once a year,4,0,0,0,2,0,0,0,Gaining a lot of new insights,Stronger confidence in learning new technical skills,,,,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,,,,,,,,,,,,,,,University,,at least 5000 but fewer than 10000,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-07-26 14:00:19,2021-07-26 14:06:50,f599b842fe
578adiq18e8ad1ui4s578adifxaqdze3,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,We coordinate a local Carpentries community.,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,Library Carpentry,Data Carpentry,,,,,0-6 months ago,,,OpenRefine,,R,,Spreadsheets/tidy data,,,,,,,,I have suggested tools to others and explained how they work,,Monthly,4,4,4,0,0,4,4,3,Organise my R workspace in a logical way,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,,,,,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,Bibliometrics and other research metrics,Promotional material to show to management and colleagues how the skills learned by following the Library Carpentry curriculum have improved internal processes elsewhere (good examples and user stories!).,"The Carpentries provided me a fast-track to teaching digital skills, even without a teaching background.",University,,at least 5000 but fewer than 10000,,at least 20000,at least 100 but fewer than 250,Keep up the good work!,2021-07-26 10:47:07,2021-07-26 11:04:48,6e0af21b0c
fi3npzz24hcxz4mvfl77tfi3npfrxvpc,As an individual,,,,,,,We are not involved as a library but I am personally.,,Teaching and Learning,,,,Information and data analytics,,"Research and development, digital projects",,,,,,,Software Carpentry,,,,More than 1 year ago,Git,,,,R,,,,Unix Shell,,,,,,I have suggested tools to others and explained how they work,,Several times per year,5,2,5,4,5,5,5,3,Adhering to FAIR principles,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,,,,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,,,"basic data literacy: data as an asset, value of data, etc.",,,Private research organisation,,at least 10000,,Not applicable,at least 10 but fewer than 50,,2021-07-21 07:37:15,2021-07-21 07:43:31,d143a94a83
m8zcz4e3ksfxtrtcw1m8zcz4v22wbpem,As an individual,,,,,,,,,,Collections management and acquisitions,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,I would really like to learn more about this/get involved in this.,,,,,,,,,,,,,,,,,,,Haven't done any workshops yet.,How to successfully change over from one area of Librarianship to another.,"Can I come to America to learn how to implement it in South Africa, Cape Town specifically?","Sincerely wish I could comment, but I haven't had the privilege of doing one yet.",Public library,,at least 500 but fewer than 2000,,Not applicable,,Who are you going to send the results of your feedback to?,2021-07-20 12:06:13,2021-07-20 12:13:53,86f961baf5
lxszoyk1vpxztj8unqr9wlxszoyk1m2o,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,,,"Metadata and data conversion, cataloging",,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,Weekly,1,0,0,0,2,0,0,0,I have never attended a workshop on carpentry,,Encouraging skills development of staff,,,,,,,,,,,,,,,,,,Beginners guide,It would benefit librarians to sharpen their skills and learn new skills,Not applicable,University,,at least 500 but fewer than 2000,,at least 20000,at least 50 but fewer than 100,Many questions are irrelevant to a participant that is interested in attending a carpentry workshop but has never attended one before.,2021-07-20 05:50:10,2021-07-20 05:57:56,d6b6c5ff6c
mq37n6trj721cqy5amq37pfsmp39gip6,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,Teaching and Learning,Collections management and acquisitions,,,,,,,Reference and user services,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,Not applicable,,,,,,,,,,,,,,,,,,,,,,,Public library,,at least 200 but fewer than 500,,Not applicable,less than 10,No,2021-07-19 19:44:06,2021-07-19 19:49:08,63bca57163
ic3n6m2hx7v3xnf36wfic3n65a9gx0zl,As a representative of a member institution,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,,,,Reference and user services,,,Library Carpentry,,,,,,More than 1 year ago,,,,,,,,,,,I do not remember,,,,,,Less than once a year,0,0,0,0,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,Don't know what else is involved,no,...,University,,at least 500 but fewer than 2000,,at least 10000 but fewer than 20000,at least 10 but fewer than 50,no,2021-07-19 17:09:17,2021-07-19 17:15:57,373efea15b
0eew2flzumdcszka7cjq0eew2fubcrq0,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,Library Carpentry,Data Carpentry,,,,,More than 1 year ago,,,OpenRefine,,R,,Spreadsheets/tidy data,,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,6,2,0,0,5,0,1,0,Cleaning messy data with open refine,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,I have not thought of any yet,It would be great if all colleauges can  attend Library Capentry,I never knew that working with data involves so many stages. Attending carpentries workshop helped me to understand that.,University,,at least 5000 but fewer than 10000,,at least 5000 but fewer than 10000,at least 10 but fewer than 50,None,2021-07-19 14:04:00,2021-07-19 14:13:32,f9c50a7be5
t8youccdx24emcp3t8youne2eb9pcwp9,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,Research data management,,,,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,My own work area(s),,,Less than once a year,0,0,0,1,1,2,1,1,Information Literacy,,,,,,Rethinking current approaches for data processing and management in my unit/department,,,,,Participated in a short course or workshop (up to 4 days),,,,,,,,,Digital Information,learn more on metadata,nothing so far,,,,,Not applicable,less than 10,no,2021-07-19 12:42:41,2021-07-19 13:09:55,f6828bd56d
5dhwb0ppbjqq4bs20z2m5dhwb0p2a0rr,As a representative of a member institution,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,,,,,"Library IT, digital library services",,,,,"No, but I plan to do so",,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,University,,at least 500 but fewer than 2000,,at least 5000 but fewer than 10000,at least 500,,2021-07-19 12:56:44,2021-07-19 13:01:45,19dfa341bf
b2z8jk8gf2uhmqztlq2b2z8jkk4coq13,As an individual,,,,,,,,,Teaching and Learning,,,,,,,,,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,Did not attend one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public library,,at least 500 but fewer than 2000,,Not applicable,at least 500,,2021-07-19 12:51:52,2021-07-19 12:56:25,62ab693191
lm1wl0de19rk01490ealm1wl8xxmtjbn,As a representative of a member institution,,,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,,,,,,,,,,,,Software Carpentry,,,,More than 1 year ago,,,,Python,,,,,,,,,,,I have suggested tools to others and explained how they work,,Several times per year,4,3,3,1,5,5,5,4,Initiating others to use the tools,,Encouraging skills development of staff,,,,,,,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,,,,,,Basic computer skills training lesson plans and delivery modes,Fund is the bottleneck when compared from users need point of view,I am a certified data carpentry instructor and engaged in Library Advisory Member Group and also Instructor Development Committee Member,University,,at least 500 but fewer than 2000,,at least 20000,less than 10,"Keep reaching out, you are changing the way library data should be managed and the change here is visible.",2021-07-19 12:31:58,2021-07-19 12:41:51,0a19a01584
9o1jub9xxsh1vitaslc9o1jubzdfu48j,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,"Scholarly communication, publishing services, open access",,,Research data management,,,Reference and user services,,,Library Carpentry,Data Carpentry,,,,,More than 1 year ago,Git,,OpenRefine,Python,,,,,Unix Shell,,,,,,,,Less than once a year,3,0,0,0,0,0,0,0,none,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,,,,,,,,,,,,no idea,no,"Gained Awareness and interest, but have not used",University,,at least 5000 but fewer than 10000,,at least 20000,at least 100 but fewer than 250,no,2021-07-19 12:13:57,2021-07-19 12:26:51,a1ecb6ad20
9vwsgcjaf4vb4jlt6f9vwsu4ebolp4br,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,Collections management and acquisitions,,,,,"Research and development, digital projects",,Reference and user services,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special library,,Fewer than 200,,Not applicable,,Never heard of Library Capentries before this,2021-07-19 12:14:40,2021-07-19 12:19:19,9852f07c6e
wlj3fpw79zyv3clmni2cwlj3fp7jsnm8,As a representative of a member institution,,,,We manage an institutional Carpentries membership.,,,,,Teaching and Learning,,,,,,,,,,,,,,"No, but I plan to do so",,,Have not attended a Carpentries Workshop,,,,Python,,,,,,,I do not remember,,,My own work area(s),,,Less than once a year,0,0,0,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,None,None,None,Public library,,at least 500 but fewer than 2000,,at least 1000 but fewer than 5000,less than 10,No,2021-07-19 12:09:06,2021-07-19 12:14:43,092217dc63
v540nsb71psn9uywv540n1uv760xx9xl,As a representative of a member institution,,We organise and host Carpentries workshops.,,,,,,,,Collections management and acquisitions,,,,,,"Metadata and data conversion, cataloging",,,,Library Carpentry,,,,,,0-6 months ago,Git,,,Python,,,,SQL,,Web Scraping,,,,My own work area(s),,,Monthly,0,0,3,0,1,3,3,0,,Stronger confidence in learning new technical skills,,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,,,,,,,,,,,,,Public library,,at least 10000,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-07-19 08:10:53,2021-07-19 08:16:03,1cec4e9c21
7shu5sxwdtpav3567shu2jg7h5o7w91l,As a representative of a member institution,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,,,,,,,Library Carpentry,,,,,,0-6 months ago,Git,,,Python,,,,,Unix Shell,,,,,,,,Several times per year,4,4,5,4,4,5,4,5,,Stronger confidence in learning new technical skills,,,,,,,Used Carpentry self-guided material,,,,,,,,,,,,,,learned something new,University,,at least 5000 but fewer than 10000,,Not applicable,at least 100 but fewer than 250,,2021-07-16 07:56:36,2021-07-16 08:24:03,cc2b526ebc
11jyb9w8c8tyemzi911jybe73otxpe9k,As an individual,,,,,,,,,,Collections management and acquisitions,,,,Research data management,,,Reference and user services,,,Library Carpentry,,,,,,,Git,,,Python,,,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,,,,,,,Less than once a year,0,0,0,0,0,0,0,0,,Stronger confidence in learning new technical skills,,,,,,,,,,,,,,,,,,,,,,,,at least 5000 but fewer than 10000,,Not applicable,at least 100 but fewer than 250,,2021-07-16 06:24:38,2021-07-16 06:33:56,ec020ae306
op22tyquimfasiaugp8top22dxbuso6s,As an individual,,We organise and host Carpentries workshops.,,,,,,,,Collections management and acquisitions,"Scholarly communication, publishing services, open access",,,,,"Metadata and data conversion, cataloging",,,,Library Carpentry,,,,,,0-6 months ago,Git,,,Python,,,Spreadsheets/tidy data,SQL,Unix Shell,,,,,,I have suggested tools to others and explained how they work,,Several times per year,2,0,0,0,1,1,1,1,Being more aware of all the possibilities of working with data in a library context.,Stronger confidence in learning new technical skills,,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,,,,,More programme specific work (e.g. working with/getting data out of ALMA),,"The Library Carpentry workshops have given me an insight into what is possible with the data we deal with here at the library. I wouldn't go as far as to say I'm now proficient in the modules taught (Python, Git, Unix Shell, Wikidata, etc.) but it's taken some of my fear of working with digital content away and has given me the language to communicate with our IT and tech specialists.",,,at least 200 but fewer than 500,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-07-14 10:19:39,2021-07-14 11:47:02,c0aab4aaab
63u9u0bfecq17wjyyg8itu63u9u0fav7,As an individual,,We organise and host Carpentries workshops.,,,,,,,Teaching and Learning,Collections management and acquisitions,,,,Research data management,,,,,,Library Carpentry,,,,,,0-6 months ago,Git,,,Python,,,Spreadsheets/tidy data,SQL,Unix Shell,,,,,My own work area(s),,,Monthly,2,5,2,0,5,2,2,3,,Stronger confidence in learning new technical skills,,Decision-making on technical solutions in libraries,,,Rethinking current approaches for data processing and management in my unit/department,,,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,,University,,at least 5000 but fewer than 10000,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-07-12 08:49:52,2021-07-12 08:59:32,7216d527e0
