number,respondent_role,we_organise_and_host_carpentries_workshops,we_contribute_as_instructors_helpers_to_workshops,we_manage_an_institutional_carpentries_membership,we_coordinate_a_local_carpentries_community,we_are_not_involved_yet_but_would_like_to_learn_more,we_are_not_involved_as_a_library_but_i_am_personally,other_10,teaching_and_learning,collections_management_and_acquisitions,scholarly_communication_publishing_services_open_access,digital_library_management,information_and_data_analytics,research_data_management,research_and_development_digital_projects,metadata_and_data_conversion_cataloging,reference_and_user_services,library_it_digital_library_services,other_21,library_carpentry,data_carpentry,software_carpentry,no_but_i_plan_to_do_so,no,other_27,last_workshop_attended,git,introduction_to_data_for_archivists,open_refine,python,r,regular_expressions,spreadsheets_tidy_data,sql,unix_shell,web_scraping,i_do_not_remember,other_40,in_a_new_work_area_or_project,my_own_work_area_s,i_have_suggested_tools_to_others_and_explained_how_they_work,other_44,application_frequency,reorganising_and_cleaning_spreadsheets,using_version_control,transforming_workflows_into_scripts,scraping_or_mining_web_content,improving_data_management_and_project_organisation,using_programming_languages_r_python,reusing_code,creating_processable_reports_e_g_r_markdown_jupyter_notebook,what_other_behaviours_routines_have_you_adopted_as_a_result_of_completing_a_carpentries_workshop,stronger_confidence_in_learning_new_technical_skills,encouraging_skills_development_of_staff,decision_making_on_technical_solutions_in_libraries,recruitment_of_technical_and_or_analytical_staff,improved_relationships_with_academic_or_technical_partners,rethinking_current_approaches_for_data_processing_and_management_in_my_unit_department,other_61,used_carpentry_self_guided_material,used_non_carpentry_self_guided_material,contributed_as_an_instructor_helper_to_a_carpentry_workshop,participated_in_a_short_course_or_workshop_up_to_4_days,participated_in_a_semester_long_course,other_67,i_have_joined_the_carpentries_community_as_an_instructor,i_recommended_the_workshops_to_other_colleagues_and_friends,i_have_promoted_membership_to_the_head_of_my_institution,i_have_organised_workshops_or_sessions,i_contributed_to_carpentries_workshops_as_a_helper,other_73,what_other_topics_should_the_library_carpentry_curriculum_include,do_you_have_any_other_suggestions_on_how_library_carpentry_could_support_you_in_your_work,we_would_like_to_quote_you_please_share_a_short_statement_on_how_you_personally_benefitted_from_your_workshop_participation_or_further_engagement_with_the_carpentries,how_would_you_classify_your_institution_organisation,other_78,size_of_your_overall_institution_in_terms_of_staff_academic_and_administrative,other_80,size_of_your_overall_institution_in_terms_of_fte_enrolled_students,size_of_the_library_in_terms_of_fte_staff,is_there_anything_else_you_would_like_to_share,start_date_utc,submit_date_utc,network_id
f9t6edq5u8db0gcdf9t6eikkjjso02mf,As an individual,NA,NA,NA,NA,NA,NA,NA,NA,Collections management and acquisitions,NA,NA,NA,NA,NA,NA,NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,NA,Python,NA,NA,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,NA,NA,In a new work area or project,NA,NA,NA,Less than once a year,4,0,0,0,2,0,0,0,Gaining a lot of new insights,Stronger confidence in learning new technical skills,NA,NA,NA,Improved relationships with academic or technical partners,NA,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 5000 but fewer than 10000,NA,at least 10000 but fewer than 20000,at least 100 but fewer than 250,NA,2021-07-26T14:00:19Z,2021-07-26,f599b842fe
578adiq18e8ad1ui4s578adifxaqdze3,As a representative of a member institution,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,NA,We coordinate a local Carpentries community.,NA,NA,NA,Teaching and Learning,NA,"Scholarly communication, publishing services, open access",NA,NA,Research data management,NA,NA,NA,NA,NA,Library Carpentry,Data Carpentry,NA,NA,NA,NA,0-6 months ago,NA,NA,OpenRefine,NA,R,NA,Spreadsheets/tidy data,NA,NA,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Monthly,4,4,4,0,0,4,4,3,Organise my R workspace in a logical way,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,Improved relationships with academic or technical partners,NA,NA,NA,NA,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,Bibliometrics and other research metrics,Promotional material to show to management and colleagues how the skills learned by following the Library Carpentry curriculum have improved internal processes elsewhere (good examples and user stories!).,"The Carpentries provided me a fast-track to teaching digital skills, even without a teaching background.",University,NA,at least 5000 but fewer than 10000,NA,at least 20000,at least 100 but fewer than 250,Keep up the good work!,2021-07-26T10:47:07Z,2021-07-26,6e0af21b0c
fi3npzz24hcxz4mvfl77tfi3npfrxvpc,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,Teaching and Learning,NA,NA,NA,Information and data analytics,NA,"Research and development, digital projects",NA,NA,NA,NA,NA,NA,Software Carpentry,NA,NA,NA,More than 1 year ago,Git,NA,NA,NA,R,NA,NA,NA,Unix Shell,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Several times per year,5,2,5,4,5,5,5,3,Adhering to FAIR principles,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,NA,NA,NA,NA,NA,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,"basic data literacy: data as an asset, value of data, etc.",NA,NA,Private research organisation,NA,at least 10000,NA,Not applicable,at least 10 but fewer than 50,NA,2021-07-21T07:37:15Z,2021-07-21,d143a94a83
m8zcz4e3ksfxtrtcw1m8zcz4v22wbpem,As an individual,NA,NA,NA,NA,NA,NA,NA,NA,Collections management and acquisitions,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,NA,Reference and user services,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,I would really like to learn more about this/get involved in this.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haven't done any workshops yet.,How to successfully change over from one area of Librarianship to another.,"Can I come to America to learn how to implement it in South Africa, Cape Town specifically?","Sincerely wish I could comment, but I haven't had the privilege of doing one yet.",Public library,NA,at least 500 but fewer than 2000,NA,Not applicable,NA,Who are you going to send the results of your feedback to?,2021-07-20T12:06:13Z,2021-07-20,86f961baf5
lxszoyk1vpxztj8unqr9wlxszoyk1m2o,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weekly,1,0,0,0,2,0,0,0,I have never attended a workshop on carpentry,NA,Encouraging skills development of staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beginners guide,It would benefit librarians to sharpen their skills and learn new skills,Not applicable,University,NA,at least 500 but fewer than 2000,NA,at least 20000,at least 50 but fewer than 100,Many questions are irrelevant to a participant that is interested in attending a carpentry workshop but has never attended one before.,2021-07-20T05:50:10Z,2021-07-20,d6b6c5ff6c
mq37n6trj721cqy5amq37pfsmp39gip6,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,Teaching and Learning,Collections management and acquisitions,NA,NA,NA,NA,NA,NA,Reference and user services,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public library,NA,at least 200 but fewer than 500,NA,Not applicable,less than 10,No,2021-07-19T19:44:06Z,2021-07-19,63bca57163
ic3n6m2hx7v3xnf36wfic3n65a9gx0zl,As a representative of a member institution,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reference and user services,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I do not remember,NA,NA,NA,NA,NA,Less than once a year,0,0,0,0,0,0,0,0,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know what else is involved,no,...,University,NA,at least 500 but fewer than 2000,NA,at least 10000 but fewer than 20000,at least 10 but fewer than 50,no,2021-07-19T17:09:17Z,2021-07-19,373efea15b
0eew2flzumdcszka7cjq0eew2fubcrq0,As a representative of a member institution,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,NA,NA,NA,NA,NA,Teaching and Learning,NA,"Scholarly communication, publishing services, open access",NA,NA,Research data management,NA,NA,NA,NA,NA,Library Carpentry,Data Carpentry,NA,NA,NA,NA,More than 1 year ago,NA,NA,OpenRefine,NA,R,NA,Spreadsheets/tidy data,NA,Unix Shell,NA,NA,NA,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,NA,Weekly,6,2,0,0,5,0,1,0,Cleaning messy data with open refine,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,I have not thought of any yet,It would be great if all colleauges can  attend Library Capentry,I never knew that working with data involves so many stages. Attending carpentries workshop helped me to understand that.,University,NA,at least 5000 but fewer than 10000,NA,at least 5000 but fewer than 10000,at least 10 but fewer than 50,None,2021-07-19T14:04:00Z,2021-07-19,f9c50a7be5
t8youccdx24emcp3t8youne2eb9pcwp9,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,Research data management,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My own work area(s),NA,NA,Less than once a year,0,0,0,1,1,2,1,1,Information Literacy,NA,NA,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,NA,NA,NA,Participated in a short course or workshop (up to 4 days),NA,NA,NA,NA,NA,NA,NA,NA,Digital Information,learn more on metadata,nothing so far,NA,NA,NA,NA,Not applicable,less than 10,no,2021-07-19T12:42:41Z,2021-07-19,f6828bd56d
5dhwb0ppbjqq4bs20z2m5dhwb0p2a0rr,As a representative of a member institution,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,NA,NA,NA,"No, but I plan to do so",NA,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 500 but fewer than 2000,NA,at least 5000 but fewer than 10000,at least 500,NA,2021-07-19T12:56:44Z,2021-07-19,19dfa341bf
b2z8jk8gf2uhmqztlq2b2z8jkk4coq13,As an individual,NA,NA,NA,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not attend one.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public library,NA,at least 500 but fewer than 2000,NA,Not applicable,at least 500,NA,2021-07-19T12:51:52Z,2021-07-19,62ab693191
lm1wl0de19rk01490ealm1wl8xxmtjbn,As a representative of a member institution,NA,We contribute as instructors/helpers to workshops.,NA,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Software Carpentry,NA,NA,NA,More than 1 year ago,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Several times per year,4,3,3,1,5,5,5,4,Initiating others to use the tools,NA,Encouraging skills development of staff,NA,NA,NA,NA,NA,NA,NA,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,NA,NA,NA,NA,NA,Basic computer skills training lesson plans and delivery modes,Fund is the bottleneck when compared from users need point of view,I am a certified data carpentry instructor and engaged in Library Advisory Member Group and also Instructor Development Committee Member,University,NA,at least 500 but fewer than 2000,NA,at least 20000,less than 10,"Keep reaching out, you are changing the way library data should be managed and the change here is visible.",2021-07-19T12:31:58Z,2021-07-19,0a19a01584
9o1jub9xxsh1vitaslc9o1jubzdfu48j,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,"Scholarly communication, publishing services, open access",NA,NA,Research data management,NA,NA,Reference and user services,NA,NA,Library Carpentry,Data Carpentry,NA,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,Python,NA,NA,NA,NA,Unix Shell,NA,NA,NA,NA,NA,NA,NA,Less than once a year,3,0,0,0,0,0,0,0,none,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,Improved relationships with academic or technical partners,NA,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no idea,no,"Gained Awareness and interest, but have not used",University,NA,at least 5000 but fewer than 10000,NA,at least 20000,at least 100 but fewer than 250,no,2021-07-19T12:13:57Z,2021-07-19,a1ecb6ad20
9vwsgcjaf4vb4jlt6f9vwsu4ebolp4br,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,Collections management and acquisitions,NA,NA,NA,NA,"Research and development, digital projects",NA,Reference and user services,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special library,NA,Fewer than 200,NA,Not applicable,NA,Never heard of Library Capentries before this,2021-07-19T12:14:40Z,2021-07-19,9852f07c6e
wlj3fpw79zyv3clmni2cwlj3fp7jsnm8,As a representative of a member institution,NA,NA,We manage an institutional Carpentries membership.,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, but I plan to do so",NA,NA,Have not attended a Carpentries Workshop,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,I do not remember,NA,NA,My own work area(s),NA,NA,Less than once a year,0,0,0,0,0,0,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,Public library,NA,at least 500 but fewer than 2000,NA,at least 1000 but fewer than 5000,less than 10,No,2021-07-19T12:09:06Z,2021-07-19,092217dc63
